date,forecast,lower_95,upper_95
2022-01-09,171.77482335789452,161.2563234320355,182.29332328375355
2022-01-16,161.73424851060028,151.04385149094634,172.42464553025422
2022-01-23,165.69499991086153,154.99471233060444,176.3952874911186
2022-01-30,183.0308714535237,172.32952445905977,193.73221844798763
2022-02-06,193.43044024689772,182.72892037408315,204.1319601197123
2022-02-13,181.8984257296702,171.19687373250412,192.5999777268363
2022-02-20,189.133534310668,178.43197617495454,199.83509244638148
2022-02-27,194.39981037102166,183.69825105535514,205.10136968668817
2022-03-06,196.04445526675536,185.34289572343798,206.74601481007275
2022-03-13,185.0527031523128,174.35114356445874,195.75426274016687
2022-03-20,209.91886017969114,199.2173005825182,220.62041977686408
2022-03-27,200.9177502400135,190.21619064029585,211.61930983973116
